test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,amplitude,acrophase,mesor,peaks,heights,troughs,heights2,ME,resid_SE
EXOSC9/ctrl,0.0,0.0,,,,,0.3636923218895293,,,,,,7.599534524562568,,,,,,
EXOSC9/nlrp3,0.0,0.0,,,,,0.4681089915891302,,,,,,7.60566243175682,,,,,,
EXT2/ctrl,0.0,0.0,,,,,1.2935410885334082,,,,,,7.877920614392648,,,,,,
EXT2/nlrp3,0.0,0.0,,,,,1.2356042543787895,,,,,,7.903871669160854,,,,,,
EYA3/ctrl,0.0,0.0,,,,,2.1533960260745393,,,,,,6.099409412378076,,,,,,
EYA3/nlrp3,32.0,1.0,0.03199584842048253,0.17147712647814217,0.7099216507827933,,1.6833650392889692,0.2407103316896979,0.17996715822487364,-0.37054284255925296,0.19256094187015238,2.8491320762285812,6.176522428902434,[17.48948949],[6.36907958],[1.53753754],[5.98396151],0.5344278394104016,0.2594891164799764
FAAP100/ctrl,19.0,1.0,0.0025598776120712152,0.015357626456189433,0.8261586466931534,,2.012615254598132,0.3572882537290323,0.309679976227479,-2.0417202417521345,0.26283188165196814,-2.0000529806637726,6.2055551216565625,[6.04804805],[6.4683864],[15.51951952],[5.94272783],0.5601959731633652,0.27302253702919244
FAAP100/nlrp3,0.0,0.0,,,,,3.1671424809970943,,,,,,6.177219635570116,,,,,,
FAM110A/ctrl,0.0,0.0,,,,,3.0125416102127436,,,,,,6.293924559830799,,,,,,
FAM110A/nlrp3,0.0,0.0,,,,,4.308109465677781,,,,,,6.244160633106237,,,,,,
FAM115C/ctrl,0.0,0.0,,,,,2.191701583288959,,,,,,6.538711431629132,,,,,,
FAM115C/nlrp3,0.0,0.0,,,,,2.594539411572218,,,,,,6.598589561000679,,,,,,
FAM120A/ctrl,0.0,0.0,,,,,0.24394321823362183,,,,,,8.332311323498612,,,,,,
FAM120A/nlrp3,0.0,0.0,,,,,0.1528645591155938,,,,,,8.33644922101508,,,,,,
FAM173B/ctrl,32.0,1.0,0.026371443484207613,0.34044049047054076,0.5547967329464676,,0.0852347155396651,0.9114022686284274,0.8523371143807124,4.248686614706608,0.6939204316208292,-2.151000375430849,5.27800766163852,[10.95495495],[5.97192809],[26.97097097],[4.58408723],0.5364246365090279,0.16855732510500704
FAM173B/nlrp3,0.0,0.0,,,,,1.0329185403253789,,,,,,5.752933479021331,,,,,,
FAM174A/ctrl,0.0,0.0,,,,,1.6669935606425081,,,,,,6.186367442446006,,,,,,
FAM174A/nlrp3,0.0,0.0,,,,,2.9762394903810323,,,,,,6.171268369010903,,,,,,
FAM192A/ctrl,0.0,0.0,,,,,0.8860762934858983,,,,,,7.029549944825162,,,,,,
FAM192A/nlrp3,0.0,0.0,,,,,0.790382146500696,,,,,,7.017601172228646,,,,,,
FAM195B/ctrl,0.0,0.0,,,,,1.1619085439342185,,,,,,7.02173122560516,,,,,,
FAM195B/nlrp3,29.0,1.0,0.03890431252000848,0.10968502364653188,0.6830589576008873,,0.7677288280137194,0.17861774178558554,0.12883699886349986,18.179290237598316,0.10373355912007565,0.5597632555945777,6.972294484167983,[26.41641642],[7.07602804],[11.9019019],[6.86856093],0.3103186762446468,0.1525270793656316
FAM196A/ctrl,0.0,0.0,,,,,2.725136857975006,,,,,,5.818597601833369,,,,,,
