test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,amplitude,acrophase,mesor,peaks,heights,troughs,heights2,ME,resid_SE
ALKBH3/nlrp3,32.0,1.0,0.0143419397673573,0.208076692270985,0.0593599472821129,,2.4756271050969594,0.2268223948783964,0.1799631460831477,-2.8953336181754565,0.2068630825161723,-1.8113687372049252,7.277299183354994,[9.22522523],[7.48415951],[25.17717718],[7.07043743],0.5572455438552909,0.2738959714650004
ALMS1/ctrl,0.0,0.0,,,,,1.62896803428673,,,,,,7.219073299497905,,,,,,
ALMS1/nlrp3,0.0,0.0,,,,,1.149912324181091,,,,,,7.262224679432904,,,,,,
ALOX15B/ctrl,0.0,0.0,,,,,0.7606303186474821,,,,,,5.925079819477434,,,,,,
ALOX15B/nlrp3,32.0,1.0,0.0549625267193871,0.3115122855604652,0.5294468719426895,,0.5630946056416316,0.5634650156645692,0.4387407344258746,0.1950782655209089,0.4156084650585847,-0.012578949563923,5.728232493918425,[0.06406406],[6.14383979],[16.01601602],[5.31263108],0.6706621590634697,0.2836231417219566
ALPK2/ctrl,22.0,1.0,0.040816688402513,0.1905904468780823,0.9630995274124666,,2.829581453450888,0.1812008929320548,0.1300259487403082,-5.646511663279092,0.2031176917622819,1.0755001877154244,6.515561554479005,[18.23423423],[6.71867858],[7.26726727],[6.31244722],0.6057074680928877,0.2973624394915071
ALPK2/nlrp3,0.0,0.0,,,,,3.768865378904131,,,,,,6.481072704603639,,,,,,
AMBRA1/ctrl,0.0,0.0,,,,,3.9996191424001504,,,,,,6.144493186172723,,,,,,
AMBRA1/nlrp3,0.0,0.0,,,,,3.300020512381314,,,,,,6.161926764840137,,,,,,
AMDHD1/ctrl,0.0,0.0,,,,,6.506559416635913,,,,,,6.143427183299385,,,,,,
AMDHD1/nlrp3,32.0,1.0,0.0088095036575621,0.1238800387662239,0.0940721482642338,,5.244764772642229,0.2560230763256962,0.2095245185960522,-16.44578946218568,0.3171520900157527,-1.3962634015954638,6.059622355365413,[7.11111111],[6.37677445],[23.12712713],[5.74247577],0.8246408332090863,0.4048442899993399
AMPD3/ctrl,0.0,0.0,,,,,2.1450659081996872,,,,,,6.409583431984929,,,,,,
AMPD3/nlrp3,0.0,0.0,,,,,2.038147972424287,,,,,,6.373266979846036,,,,,,
AMZ1/ctrl,32.0,1.0,0.0513618911181295,0.1367984477767844,0.4098071000650394,,1.0406418048716146,0.2683927498866946,0.1913814604010834,2.346605184738252,0.1867862925872332,1.8176582119868876,5.63971806950836,[22.74274274],[5.82650364],[6.72672673],[5.45293178],0.4898330148615487,0.2340312400279764
AMZ1/nlrp3,0.0,0.0,,,,,1.433607242244428,,,,,,5.614900807615484,,,,,,
ANAPC1/ctrl,0.0,0.0,,,,,0.5223948975337636,,,,,,7.7548943518009406,,,,,,
ANAPC1/nlrp3,0.0,0.0,,,,,0.5332569094452222,,,,,,7.739329821391488,,,,,,
ANAPC16/ctrl,0.0,0.0,,,,,2.201773286652191,,,,,,6.300362135129076,,,,,,
ANAPC16/nlrp3,0.0,0.0,,,,,4.714450055408796,,,,,,6.249063792970634,,,,,,
ANGPTL4/ctrl,32.0,1.0,1.0429435774339524e-05,5.726892093216307e-05,0.3030624527680123,,0.2821829169537069,0.5010277274054353,0.4707869836118253,36.19514967638519,0.1240880318861776,2.9623426223038893,8.692291172190705,[16.91291291],[8.8163792],[0.8968969],[8.56820314],0.1881348922258711,0.092471603659965
ANGPTL4/nlrp3,23.0,1.0,0.0020753136299288,0.0104532143463759,0.6764428804914792,,0.2802050546914961,0.3123000156686243,0.27062122873945,36.32175859868091,0.0884865129057717,1.3019212798660398,8.678440883145036,[18.23423423],[8.7669274],[6.72272272],[8.58995437],0.1874744000219928,0.0921469601418227
ANKAR/ctrl,29.0,1.0,0.0157398950250721,0.045491154035088,0.5651711432403088,,1.4556439967916264,0.3265801887067596,0.2624449685835938,-0.4232597788914525,0.2381700078171507,-0.6037895790683088,5.817453191041619,[2.78678679],[6.0556232],[17.3013013],[5.57928318],0.5475208215056333,0.2632800425395006
ANKAR/nlrp3,0.0,0.0,,,,,4.022542478500531,,,,,,5.871150642533307,,,,,,
ANKRD12/ctrl,0.0,0.0,,,,,5.087259518734349,,,,,,5.934341078296555,,,,,,
