ZT_4_1,ZT_4_2,ZT_4_3,ZT_8_1,ZT_8_2,ZT_8_3,ZT_12_1,ZT_12_2,ZT_12_3,ZT_16_1,ZT_16_2,ZT_16_3,ZT_20_1,ZT_20_2,ZT_20_3,ZT_24_1,ZT_24_2,ZT_24_3
283.086,208.01,356.0,389.0,337.0,381.999,355.003,374.05,406.091,338.999,372.282,351.342,274.032,281.013,285.0,459.001,326.0,240.814
5061.415,4521.654,3949.962,4325.923,4518.93,3474.566,4799.871,5523.781,2738.534,4345.229,4702.626,3691.027,4487.183,5099.318,3238.102,5841.719,4948.905,2644.695
361.216,333.007,442.373,475.043,474.0,443.386,531.413,655.437,540.686,485.999,509.67,498.029,387.485,493.133,379.122,562.0,519.811,314.067
1273.743,1022.081,1284.388,857.0,1145.292,796.0,769.0,1068.809,798.59,857.999,1182.051,1033.568,1118.294,1477.002,1236.427,2194.065,1708.52,1240.952
1165.432,991.031,1406.422,1624.817,1237.116,1320.0,1121.13,1260.187,1406.408,1042.175,1235.66,1149.028,921.22,1082.849,991.96,1478.093,1263.727,713.0
321.0,260.061,293.0,362.003,341.011,214.999,278.591,363.173,221.0,232.0,335.0,252.029,232.001,326.16,220.0,362.001,346.0,178.001
676.822,531.638,663.0,669.118,1101.229,512.0,667.0,1111.139,547.0,641.965,914.139,680.592,822.817,867.195,812.037,1622.012,1094.351,862.255
3594.08,3067.84,3687.295,3501.77,3713.875,2963.0,3166.327,3856.416,3405.344,3122.517,3953.262,3117.698,2671.886,3585.586,2735.159,4384.996,3619.282,2162.684
1434.187,1409.936,1465.225,1876.651,1815.277,1589.001,2030.943,2643.223,1972.254,2051.059,1819.967,1866.193,1930.824,2034.256,1942.504,3536.711,2209.358,1776.779
0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
27.0,45.0,18.0,27.0,11.0,23.999,18.546,35.0,15.0,15.0,11.0,10.0,17.0,10.0,15.0,20.0,9.0,17.0
1168.835,1098.018,1319.649,1350.337,1038.605,1025.07,889.048,983.916,1165.669,905.735,1096.078,944.593,691.84,961.451,697.0,1011.0,921.268,497.103
4727.914,4195.911,3926.458,3632.548,4807.883,2758.001,4047.963,5211.941,2474.972,3130.11,3749.212,2925.358,3640.542,3795.78,2682.215,5356.556,4695.159,2553.447
2777.013,2513.591,2092.356,2067.095,2297.114,1620.193,2282.428,2779.396,1506.58,1851.199,1985.34,1505.169,1774.262,1805.185,1233.999,2544.183,2369.01,971.133
5012.655,4140.649,4600.325,4675.729,5245.394,3734.225,4529.805,5270.743,3615.81,4492.246,4622.411,3970.532,4288.667,4881.566,3777.062,7399.729,5290.311,3328.259
3.0,8.002,3.0,1.0,5.0,3.0,5.0,3.0,1.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0
2752.325,2613.205,2770.892,1910.003,2423.401,1743.433,2074.382,2969.705,1917.513,1685.382,2178.982,2090.659,1820.216,2227.704,2079.799,2994.116,2346.139,1783.538
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2226.696,2660.546,2371.491,1964.115,2892.639,1678.0,2470.753,3773.475,1858.027,2197.393,3024.221,2271.325,2536.595,2977.075,2296.996,3596.043,3555.674,1996.439
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2173.176,1529.55,2292.627,2520.875,2399.201,2532.751,1920.482,2046.397,2606.988,1883.149,2286.866,2076.82,1569.344,2028.945,1861.687,2552.061,2324.732,1187.708
217.127,211.157,250.001,261.0,228.002,298.999,262.0,318.236,361.294,346.0,272.006,336.329,270.001,233.045,288.125,472.307,303.999,253.209
1594.456,1375.151,1783.349,1791.226,1383.757,1656.999,1425.076,1539.563,1719.753,1270.012,1376.416,1526.042,1118.939,1267.444,1211.992,1697.975,1384.906,862.586
2132.883,1907.784,2384.0,1985.0,1844.527,1877.534,1830.19,2463.778,2081.31,1527.185,1875.523,1811.973,1463.326,1765.758,1755.202,2366.278,2181.127,1309.858
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384.0,335.0,311.0,231.999,482.0,233.001,296.999,443.62,248.0,244.204,383.009,304.069,315.07,468.493,310.071,619.003,539.0,361.0
297.0,273.131,218.0,296.0,579.169,254.0,372.0,480.0,287.0,341.118,524.25,373.009,489.016,564.025,360.0,783.006,816.523,363.001
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0
26.0,10.035,16.0,28.0,21.0,32.0,22.0,47.0,22.0,40.0,27.0,22.0,38.0,43.0,33.0,59.0,38.127,35.0
2.0,0.0,3.0,1.0,2.0,0.0,0.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,0.0,6.0,1.0,1.0
1.0,3.0,1.0,6.0,3.0,3.0,2.0,5.0,4.0,3.0,2.0,1.0,1.0,3.0,2.0,6.0,5.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,5.0,6.0,6.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.72,5.005,5.007,11.008,7.011,7.308,6.004,6.014,10.015,6.005,5.009,6.543,6.191,5.005,3.002,8.01,7.013,0.0
49.583,27.654,26.772,49.149,109.884,6.29,3.408,49.008,27.746,11.359,36.69,33.321,25.947,55.738,0.0,45.358,69.245,5.152
4.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.641,1.165,1.185,2.53,6.674,0.0,2.39,2.356,0.0,1.177,0.0,2.47,2.568,2.595,1.188,4.922,2.561,2.593
12.63,16.321,0.0,3.209,0.0,0.0,2.852,2.605,0.0,2.93,0.0,0.0,0.0,4.096,3.063,2.913,0.0,0.0
69.724,112.054,77.445,53.529,89.813,68.411,93.1,162.524,34.13,103.613,80.037,201.456,106.394,54.963,98.946,156.675,103.262,155.373
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42.0,32.0,32.0,41.0,36.0,23.0,38.0,25.0,38.0,32.0,23.185,34.0,31.0,40.0,15.0,27.0,25.0,8.0
156.166,126.374,78.0,95.0,109.0,66.0,127.0,124.002,63.013,106.0,81.0,78.0,99.0,97.053,55.0,120.0,99.223,41.0
34.0,23.003,21.0,43.0,32.0,38.044,43.002,47.0,18.0,28.0,34.0,26.0,27.0,36.0,28.0,48.0,30.0,20.0
2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,0.0
2.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.519,1.011,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.033,0.0,0.0
3.0,1.0,3.0,0.0,3.0,4.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0
8.0,4.0,11.0,6.0,7.0,7.0,4.0,11.0,8.0,4.0,5.0,6.0,5.0,7.0,7.0,5.0,5.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
10.0,9.0,15.0,8.0,11.0,13.0,14.0,18.0,20.0,21.0,26.0,20.001,19.0,30.953,16.0,24.002,24.0,21.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0
9.476,2.517,6.972,5.866,6.337,5.017,5.011,6.77,8.528,4.009,4.754,7.966,8.565,7.028,3.613,9.49,4.641,2.605
1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
