pVal,phase,peak.shape,period,names
0.0014608337231239938,20,8,24,AC012313.5_ctrl
8.623602183271707e-4,24,4,24,AC012313.8_ctrl
8.135303372605692e-6,24,8,24,AC012447.1_ctrl
0.0012985188649991056,20,8,24,AC012615.1_ctrl
0.036419000331562076,20,4,24,AC012651.1_ctrl
0.004591339822718023,4,20,24,AC012676.1_ctrl
3.5186247694747097e-5,20,8,24,AC013268.4_ctrl
0.009157291679366979,20,12,24,AC013394.1_ctrl
0.015049740042909699,20,16,24,AC013400.1_ctrl
0.026238846127384356,20,12,24,AC013451.2_ctrl
0.04207629957182221,20,4,24,AC013652.1_ctrl
0.049477614042700076,16,12,24,AC013717.1_ctrl
4.2528145990342503e-4,24,8,24,AC015712.1_ctrl
0.001599893560869973,24,8,24,AC015712.6_ctrl
1.0908968813498724e-4,24,12,24,AC015802.6_ctrl
0.0019031242409563386,20,12,24,AC015813.2_ctrl
0.0019031242409563386,20,12,24,AC015813.6_ctrl
0.03545392478426869,12,16,24,AC015819.1_ctrl
0.016695425737632268,20,8,24,AC015849.5_ctrl
3.4028796974348315e-4,20,12,24,AC015982.2_ctrl
0.01018373913085477,20,4,24,AC016027.1_ctrl
3.5961593086998604e-5,24,4,24,AC016065.1_ctrl
4.437719581600957e-4,20,16,24,AC016355.1_ctrl
7.781594530318487e-6,20,8,24,AC016394.2_ctrl
4.067909616467544e-4,20,8,24,AC016394.3_ctrl
0.004236073858388212,4,20,24,AC016588.2_ctrl
0.0014067287704156975,20,16,24,AC016596.1_ctrl
0.003199787121739946,20,12,24,AC016629.3_ctrl
8.817354198316294e-5,20,12,24,AC016727.1_ctrl
0.010239861119081126,20,8,24,AC016745.1_ctrl
0.0018203797087408458,16,12,24,AC016747.1_ctrl
0.005467413567845562,20,16,24,AC016773.2_ctrl
5.082519781873662e-4,4,20,24,AC016831.1_ctrl
0.04386695384068922,20,4,24,AC016831.6_ctrl
7.366837490048437e-4,20,8,24,AC016876.2_ctrl
0.00812313968634727,20,8,24,AC017104.4_ctrl
0.0018203797087408458,24,12,24,AC018413.1_ctrl
0.0012444139122908095,16,8,24,AC018464.1_ctrl
0.0052396046691853305,20,16,24,AC018521.5_ctrl
0.0449072567468358,20,8,24,AC018553.2_ctrl
0.03309032979865078,4,8,24,AC018638.2_ctrl
0.002231840027252284,20,8,24,AC018647.2_ctrl
0.02009271219220266,20,8,24,AC018695.6_ctrl
0.001801178112862844,8,4,24,AC019069.1_ctrl
1.2772289220042157e-4,24,4,24,AC019080.1_ctrl
0.024329466091520476,20,12,24,AC019117.2_ctrl
0.02928511420655656,4,16,24,AC019131.2_ctrl
0.012899777179636885,20,8,24,AC019197.1_ctrl
0.001801178112862844,20,12,24,AC019205.1_ctrl
0.0020686133053873248,20,12,24,AC020658.4_ctrl
4.910048059955025e-4,24,4,24,AC020910.6_ctrl
6.592958732616409e-5,20,8,24,AC020915.3_ctrl
0.007769959699984346,20,16,24,AC020916.1_ctrl
0.00439550000609615,24,8,24,AC020929.1_ctrl
0.0020532928250721013,20,16,24,AC020978.5_ctrl
0.005923031365166026,20,16,24,AC021087.3_ctrl
0.0042178409995588416,20,8,24,AC021092.1_ctrl
0.010619617046386769,24,8,24,AC021092.2_ctrl
0.029544937320223907,20,8,24,AC021097.1_ctrl
0.0015850367393193026,20,12,24,AC021106.1_ctrl
0.03309032979865078,20,8,24,AC021205.3_ctrl
0.03309032979865078,20,8,24,AC021321.1_ctrl
